event_key,country,region,crop,year,window,method,top_driver_group,score,matches_event_sanity_group
United States|Montana|Canola|2021|spring,United States,Montana,Canola,2021.0,spring,grouped_shap,heat,0.06328831526428898,True
United States|Montana|Oats|1990|spring,United States,Montana,Oats,1990.0,spring,grouped_shap,drought,0.12305957793040632,False
United States|Montana|Oats|1996|spring,United States,Montana,Oats,1996.0,spring,grouped_shap,drought,0.13097205555407712,False
United States|Montana|Oats|2021|spring,United States,Montana,Oats,2021.0,spring,grouped_shap,drought,0.06173268599843828,True
United States|Montana|Oats|2023|spring,United States,Montana,Oats,2023.0,spring,grouped_shap,drought,0.0432985217768325,False
United States|Montana|Oats|2024|spring,United States,Montana,Oats,2024.0,spring,grouped_shap,heat,0.042433276170901035,False
United States|Montana|Wheat|2001|spring,United States,Montana,Wheat,2001.0,spring,grouped_shap,drought,0.10872892168149427,False
United States|Montana|Wheat|2002|spring,United States,Montana,Wheat,2002.0,spring,grouped_shap,heat,0.17293831841325133,False
United States|Montana|Wheat|2017|spring,United States,Montana,Wheat,2017.0,spring,grouped_shap,drought,0.0739173526800644,False
United States|Montana|Wheat|2021|spring,United States,Montana,Wheat,2021.0,spring,grouped_shap,drought,0.06272338687532425,True
United States|Montana|Wheat|2022|spring,United States,Montana,Wheat,2022.0,spring,grouped_shap,heat,0.06368284699175428,True
United States|Nebraska|Barley|2000|spring,United States,Nebraska,Barley,2000.0,spring,grouped_shap,heat,0.25338224264191184,False
United States|Nebraska|Barley|2002|spring,United States,Nebraska,Barley,2002.0,spring,grouped_shap,heat,0.21622726050901428,False
United States|Nebraska|Oats|1993|spring,United States,Nebraska,Oats,1993.0,spring,grouped_shap,drought,0.14689670990008544,False
United States|Nebraska|Oats|2000|spring,United States,Nebraska,Oats,2000.0,spring,grouped_shap,heat,0.2561807810947576,False
United States|Nebraska|Oats|2002|spring,United States,Nebraska,Oats,2002.0,spring,grouped_shap,heat,0.21350189379010948,False
United States|Nebraska|Oats|2006|spring,United States,Nebraska,Oats,2006.0,spring,grouped_shap,heat,0.15763808011975172,False
United States|Nebraska|Oats|2017|spring,United States,Nebraska,Oats,2017.0,spring,grouped_shap,excess_rain,0.05129504726113493,False
United States|Nebraska|Oats|2022|spring,United States,Nebraska,Oats,2022.0,spring,grouped_shap,heat,0.13477195233887207,True
United States|Nebraska|Oats|2025|spring,United States,Nebraska,Oats,2025.0,spring,grouped_shap,frost_cold,0.052414326012128906,False
United States|Nebraska|Wheat|1992|winter,United States,Nebraska,Wheat,1992.0,winter,grouped_shap,drought,0.16649600301422476,False
United States|Nebraska|Wheat|2002|winter,United States,Nebraska,Wheat,2002.0,winter,grouped_shap,drought,0.2934030713869387,False
United States|Nebraska|Wheat|2013|winter,United States,Nebraska,Wheat,2013.0,winter,grouped_shap,drought,0.3340375263539418,False
United States|Nebraska|Wheat|2015|winter,United States,Nebraska,Wheat,2015.0,winter,grouped_shap,drought,0.2066589234976592,False
United States|Nebraska|Wheat|2022|winter,United States,Nebraska,Wheat,2022.0,winter,grouped_shap,drought,0.20495311325589913,True
United States|North Dakota|Barley|1997|spring,United States,North Dakota,Barley,1997.0,spring,grouped_shap,heat,0.1031397889718229,False
United States|North Dakota|Barley|2002|spring,United States,North Dakota,Barley,2002.0,spring,grouped_shap,heat,0.17158128628053285,False
United States|North Dakota|Barley|2006|spring,United States,North Dakota,Barley,2006.0,spring,grouped_shap,excess_rain,0.14567037762480195,False
United States|North Dakota|Barley|2011|spring,United States,North Dakota,Barley,2011.0,spring,grouped_shap,excess_rain,0.14861465410601132,False
United States|North Dakota|Barley|2021|spring,United States,North Dakota,Barley,2021.0,spring,grouped_shap,heat,0.11461909891842495,True
United States|North Dakota|Canola|2002|spring,United States,North Dakota,Canola,2002.0,spring,grouped_shap,heat,0.16603139580791335,False
United States|North Dakota|Canola|2007|spring,United States,North Dakota,Canola,2007.0,spring,grouped_shap,heat,0.05925094201950307,False
United States|North Dakota|Canola|2012|spring,United States,North Dakota,Canola,2012.0,spring,grouped_shap,heat,0.07622805011038183,True
United States|North Dakota|Canola|2021|spring,United States,North Dakota,Canola,2021.0,spring,grouped_shap,heat,0.11893046280009548,True
United States|North Dakota|Oats|1997|spring,United States,North Dakota,Oats,1997.0,spring,grouped_shap,heat,0.10925315308844435,False
United States|North Dakota|Oats|2002|spring,United States,North Dakota,Oats,2002.0,spring,grouped_shap,heat,0.17246907002449527,False
United States|North Dakota|Oats|2006|spring,United States,North Dakota,Oats,2006.0,spring,grouped_shap,excess_rain,0.1511152811790733,False
United States|North Dakota|Oats|2008|spring,United States,North Dakota,Oats,2008.0,spring,grouped_shap,frost_cold,0.08358153505631469,False
United States|North Dakota|Oats|2011|spring,United States,North Dakota,Oats,2011.0,spring,grouped_shap,excess_rain,0.13952650902930397,False
United States|North Dakota|Oats|2017|spring,United States,North Dakota,Oats,2017.0,spring,grouped_shap,drought,0.09740326677707342,False
United States|North Dakota|Oats|2021|spring,United States,North Dakota,Oats,2021.0,spring,grouped_shap,heat,0.11361467888875762,True
United States|North Dakota|Wheat|1997|spring,United States,North Dakota,Wheat,1997.0,spring,grouped_shap,heat,0.10834241748156127,False
United States|North Dakota|Wheat|2002|spring,United States,North Dakota,Wheat,2002.0,spring,grouped_shap,heat,0.16990414751097027,False
United States|North Dakota|Wheat|2006|spring,United States,North Dakota,Wheat,2006.0,spring,grouped_shap,excess_rain,0.14638621986442757,False
United States|North Dakota|Wheat|2011|spring,United States,North Dakota,Wheat,2011.0,spring,grouped_shap,excess_rain,0.14477556019990284,False
United States|North Dakota|Wheat|2017|spring,United States,North Dakota,Wheat,2017.0,spring,grouped_shap,drought,0.10061644963984016,False
United States|North Dakota|Wheat|2021|spring,United States,North Dakota,Wheat,2021.0,spring,grouped_shap,heat,0.11616642403363106,True
United States|Oklahoma|Barley|1996|spring,United States,Oklahoma,Barley,1996.0,spring,grouped_shap,heat,0.19431449602643866,False
