scope,driver_group,mean_abs_group_shap,mean_signed_group_shap,mean_stress_group_shap,n_rows,rank_abs,rank_stress,table,event_key,country,region,crop,year,window,signed_group_shap,abs_group_shap,stress_score
,frost_cold,,,,,4,4,event,United States|Illinois|Wheat|1991|winter,United States,Illinois,Wheat,1991.0,winter,-0.059125009244033855,0.059125009244033855,0.059125009244033855
,excess_rain,,,,,2,2,event,United States|Illinois|Wheat|1991|winter,United States,Illinois,Wheat,1991.0,winter,-0.22907242238938336,0.22907242238938336,0.22907242238938336
,radiation,,,,,5,5,event,United States|Illinois|Wheat|1991|winter,United States,Illinois,Wheat,1991.0,winter,-0.028539949330979832,0.028539949330979832,0.028539949330979832
,heat,,,,,4,4,event,United States|Washington|Wheat|1991|winter,United States,Washington,Wheat,1991.0,winter,-0.08449981601678193,0.08449981601678193,0.08449981601678193
,drought,,,,,1,1,event,United States|Washington|Wheat|1991|winter,United States,Washington,Wheat,1991.0,winter,-0.22507406185578058,0.22507406185578058,0.22507406185578058
,frost_cold,,,,,3,3,event,United States|Washington|Wheat|1991|winter,United States,Washington,Wheat,1991.0,winter,-0.10514529179093282,0.10514529179093282,0.10514529179093282
,excess_rain,,,,,2,2,event,United States|Washington|Wheat|1991|winter,United States,Washington,Wheat,1991.0,winter,-0.21362447602269957,0.21362447602269957,0.21362447602269957
,radiation,,,,,5,5,event,United States|Washington|Wheat|1991|winter,United States,Washington,Wheat,1991.0,winter,-0.023357272539015234,0.023357272539015234,0.023357272539015234
,heat,,,,,5,5,event,United States|Colorado|Barley|1992|spring,United States,Colorado,Barley,1992.0,spring,0.02298736764723592,0.02298736764723592,0.0
,drought,,,,,2,2,event,United States|Colorado|Barley|1992|spring,United States,Colorado,Barley,1992.0,spring,-0.09833924997132705,0.09833924997132705,0.09833924997132705
,frost_cold,,,,,3,3,event,United States|Colorado|Barley|1992|spring,United States,Colorado,Barley,1992.0,spring,-0.07860504200874327,0.07860504200874327,0.07860504200874327
,excess_rain,,,,,1,1,event,United States|Colorado|Barley|1992|spring,United States,Colorado,Barley,1992.0,spring,-0.17741158512640248,0.17741158512640248,0.17741158512640248
,radiation,,,,,4,4,event,United States|Colorado|Barley|1992|spring,United States,Colorado,Barley,1992.0,spring,-0.030207399415019293,0.030207399415019293,0.030207399415019293
,heat,,,,,4,4,event,United States|Washington|Barley|1992|spring,United States,Washington,Barley,1992.0,spring,-0.0425317393895743,0.0425317393895743,0.0425317393895743
,drought,,,,,2,2,event,United States|Washington|Barley|1992|spring,United States,Washington,Barley,1992.0,spring,-0.10283151936384259,0.10283151936384259,0.10283151936384259
,frost_cold,,,,,3,3,event,United States|Washington|Barley|1992|spring,United States,Washington,Barley,1992.0,spring,-0.09485949768504083,0.09485949768504083,0.09485949768504083
,excess_rain,,,,,1,1,event,United States|Washington|Barley|1992|spring,United States,Washington,Barley,1992.0,spring,-0.2396812727905135,0.2396812727905135,0.2396812727905135
,radiation,,,,,5,5,event,United States|Washington|Barley|1992|spring,United States,Washington,Barley,1992.0,spring,-0.042395370096165744,0.042395370096165744,0.042395370096165744
,heat,,,,,4,4,event,United States|Nebraska|Wheat|1992|winter,United States,Nebraska,Wheat,1992.0,winter,-0.027604546664186193,0.027604546664186193,0.027604546664186193
,drought,,,,,1,1,event,United States|Nebraska|Wheat|1992|winter,United States,Nebraska,Wheat,1992.0,winter,-0.16649600301422476,0.16649600301422476,0.16649600301422476
,frost_cold,,,,,2,2,event,United States|Nebraska|Wheat|1992|winter,United States,Nebraska,Wheat,1992.0,winter,-0.05722180582233462,0.05722180582233462,0.05722180582233462
,excess_rain,,,,,3,3,event,United States|Nebraska|Wheat|1992|winter,United States,Nebraska,Wheat,1992.0,winter,-0.04940224998561551,0.04940224998561551,0.04940224998561551
,radiation,,,,,5,5,event,United States|Nebraska|Wheat|1992|winter,United States,Nebraska,Wheat,1992.0,winter,0.014592254317072386,0.014592254317072386,0.0
,heat,,,,,4,4,event,United States|Washington|Wheat|1992|winter,United States,Washington,Wheat,1992.0,winter,-0.06889903493845975,0.06889903493845975,0.06889903493845975
,drought,,,,,1,1,event,United States|Washington|Wheat|1992|winter,United States,Washington,Wheat,1992.0,winter,-0.19833580588926414,0.19833580588926414,0.19833580588926414
,frost_cold,,,,,3,3,event,United States|Washington|Wheat|1992|winter,United States,Washington,Wheat,1992.0,winter,-0.07498642546770437,0.07498642546770437,0.07498642546770437
,excess_rain,,,,,2,2,event,United States|Washington|Wheat|1992|winter,United States,Washington,Wheat,1992.0,winter,-0.10553382467401522,0.10553382467401522,0.10553382467401522
