scope,comparison,metric,delta_left_minus_right,ci95_low,ci95_high,n,n_boot,resampling_unit
overall,ridge_alpha_1_metadata_only_vs_train_mean,rmse_t_ha,-4.329869796038111e-15,-6.106226635438361e-15,-2.4424906541753444e-15,333,2000,year_block
overall,ridge_alpha_1_metadata_only_vs_train_mean,mae_t_ha,-2.05391259555654e-15,-4.496403249731884e-15,1.3877787807738726e-18,333,2000,year_block
overall,ridge_alpha_1_weather_only_vs_zero,rmse_t_ha,0.0010344616507548,-0.0090559703541641,0.0089485180700299,333,2000,year_block
overall,ridge_alpha_1_weather_only_vs_zero,mae_t_ha,0.0024552415129758,-0.006378411735453,0.0106834864277213,333,2000,year_block
overall,ridge_alpha_1_weather_only_vs_train_mean,rmse_t_ha,0.0010344616507513,-0.0090559703541701,0.0089485180700254,333,2000,year_block
overall,ridge_alpha_1_weather_only_vs_train_mean,mae_t_ha,0.0024552415129711,-0.0063784117354561,0.0106834864277173,333,2000,year_block
overall,ridge_alpha_10_full_vs_zero,rmse_t_ha,0.0053250345590086,-0.0072943114811073,0.0172884587683591,333,2000,year_block
overall,ridge_alpha_10_full_vs_zero,mae_t_ha,0.0079746694910403,-0.0047632886890245,0.0205142125203104,333,2000,year_block
overall,ridge_alpha_10_full_vs_train_mean,rmse_t_ha,0.0053250345590052,-0.0072943114811113,0.0172884587683538,333,2000,year_block
overall,ridge_alpha_10_full_vs_train_mean,mae_t_ha,0.0079746694910355,-0.0047632886890308,0.0205142125203038,333,2000,year_block
overall,ridge_alpha_10_metadata_only_vs_zero,rmse_t_ha,-4.440892098500626e-16,-4.440892098500626e-15,2.997602166487923e-15,333,2000,year_block
overall,ridge_alpha_10_metadata_only_vs_zero,mae_t_ha,2.8310687127941488e-15,-9.992007221626409e-16,6.8833827526759706e-15,333,2000,year_block
overall,ridge_alpha_10_metadata_only_vs_train_mean,rmse_t_ha,-3.885780586188048e-15,-5.551115123125783e-15,-2.1094237467877974e-15,333,2000,year_block
overall,ridge_alpha_10_metadata_only_vs_train_mean,mae_t_ha,-1.887379141862766e-15,-4.107825191113079e-15,1.6653345369377348e-16,333,2000,year_block
overall,ridge_alpha_10_weather_only_vs_zero,rmse_t_ha,0.0006334179964916,-0.008238210277104,0.0074187879239644,333,2000,year_block
overall,ridge_alpha_10_weather_only_vs_zero,mae_t_ha,0.0006572397626183,-0.0061210030513853,0.0069159377942811,333,2000,year_block
overall,ridge_alpha_10_weather_only_vs_train_mean,rmse_t_ha,0.0006334179964881,-0.0082382102771075,0.007418787923959,333,2000,year_block
overall,ridge_alpha_10_weather_only_vs_train_mean,mae_t_ha,0.0006572397626136,-0.00612100305139,0.0069159377942769,333,2000,year_block
overall,train_mean_baseline_vs_zero,rmse_t_ha,3.4416913763379853e-15,0.0,6.661338147750939e-15,333,2000,year_block
overall,train_mean_baseline_vs_zero,mae_t_ha,4.718447854656915e-15,1.9984014443252818e-15,7.605027718682322e-15,333,2000,year_block
overall,extra_trees_leaf_1_full_vs_weather_only,rmse_t_ha,-0.00670541458619,-0.0136758588145011,0.0009390736455165,333,2000,year_block
overall,extra_trees_leaf_1_full_vs_weather_only,mae_t_ha,-0.0038696419381668,-0.0080864240077428,0.0003927873785603,333,2000,year_block
overall,extra_trees_leaf_1_full_vs_metadata_only,rmse_t_ha,-0.012124514160681055,-0.02936628904004752,0.0019502340837606342,333,2000,year_block
overall,extra_trees_leaf_1_full_vs_metadata_only,mae_t_ha,-0.02285088608028879,-0.03978909536201982,-0.00659965228135024,333,2000,year_block
overall,extra_trees_leaf_1_weather_only_vs_metadata_only,rmse_t_ha,-0.005419099574491049,-0.019363716160996775,0.009077511675201743,333,2000,year_block
overall,extra_trees_leaf_1_weather_only_vs_metadata_only,mae_t_ha,-0.018981244142122045,-0.03411604277230914,-0.0038696983235621215,333,2000,year_block
