grouping,group,n,r2,rmse_t_ha,mae_t_ha,sign_accuracy,spearman
crop_state,Oats|Iowa,10,-0.012249133685291458,0.3090917193780453,0.2592913455137939,0.7,0.2727272727272727
crop_state,Oats|Kansas,10,-0.8303622382689633,0.3762688141362618,0.29348839688223183,0.4,-0.11515151515151514
crop_state,Oats|Minnesota,10,0.15534406788647004,0.3303033718296923,0.2942156738012288,0.8,0.6121212121212121
crop_state,Oats|Montana,10,-3.2714552645086883,0.4916557031683668,0.4451135560090417,0.4,0.4545454545454545
crop_state,Oats|Nebraska,10,-3.563449503521471,0.5931820137995146,0.5114916220567423,0.3,-0.19999999999999998
crop_state,Oats|North Dakota,10,-0.44774675885506854,0.5660293737145553,0.4635163863953147,0.7,0.32121212121212117
crop_state,Oats|Oklahoma,8,-0.3681522403012407,0.4426930228529219,0.38203652833112656,0.75,0.0
crop_state,Oats|South Dakota,10,-0.3504890044560549,0.2607863661256953,0.19050232513044638,0.7,0.4666666666666666
crop_state,Oats|Texas,10,-2.127206107607246,0.23155929023710384,0.1677020130594086,0.7,-0.38181818181818183
crop_state,Oats|Washington,3,-4.694588332429327,0.7042044566515382,0.631881637429606,1.0,-1.0
crop_state,Wheat|Colorado,10,-0.21717610419935607,0.560418153625834,0.496220180469862,0.6,0.309090909090909
crop_state,Wheat|Illinois,10,-0.5954755712173754,0.5270947227124255,0.4627513337746915,0.6,0.5878787878787878
crop_state,Wheat|Iowa,3,-1.3241462047606607,0.4468405531871295,0.3740422138564659,1.0,0.5
crop_state,Wheat|Kansas,10,-0.9037247725652899,0.6589991633544354,0.524757069329806,0.8,0.5515151515151515
crop_state,Wheat|Minnesota,10,-0.09628615308250255,0.42534599834869113,0.29738420787457154,0.7,0.4545454545454545
crop_state,Wheat|Montana,10,0.368255567882645,0.36215379026150296,0.2957151587868703,0.9,0.7212121212121211
crop_state,Wheat|Nebraska,10,0.31622480309872036,0.4010187386634825,0.3298247859086831,0.9,0.5515151515151515
crop_state,Wheat|North Dakota,10,0.18356387845252264,0.3667362372979957,0.29944802653181973,0.7,0.4424242424242424
crop_state,Wheat|Oklahoma,10,-1.2757478924292665,0.5039917336993379,0.4142715531742132,0.8,0.33333333333333326
crop_state,Wheat|South Dakota,10,-0.3725219179545214,0.518568611987566,0.3944448121376888,0.5,0.32121212121212117
crop_state,Wheat|Texas,10,-1.7358669826103008,0.33717204519896465,0.2576740388027239,0.5,-0.309090909090909
crop_state,Wheat|Washington,10,0.09700358656795038,0.63761497517297,0.4826321160299417,0.6,0.309090909090909
year,2016,34,-0.4672612573693602,0.4809260003132679,0.3551506130843059,0.6764705882352942,0.005515995499859987
year,2017,34,0.04992841846375351,0.5105879937613429,0.3931353573881113,0.6470588235294118,0.3226857367418093
year,2018,36,-0.12889887646193698,0.4915820101243913,0.3706143331914461,0.5555555555555556,-0.015355883136997796
year,2019,33,-0.13509652684347562,0.5618928337076682,0.41420223897200537,0.696969696969697,0.2516146538897145
year,2020,33,-0.07568704819643024,0.65061535589136,0.4504176909804153,0.5757575757575758,0.04961887911482711
year,2021,33,-0.01631142401470198,0.8414253951237941,0.6737729975202431,0.7272727272727273,0.34884083593903786
year,2022,33,0.044847581418887894,0.7142723543245088,0.4893063836652965,0.5757575757575758,0.40348865550469204
year,2023,33,0.04135293419817465,0.6719811407161164,0.4928294667103038,0.6363636363636364,0.28329697872992504
year,2024,32,-0.307973977965168,0.8390221638793979,0.5498333677263052,0.65625,-0.22673901336084343
year,2025,32,-0.2040169043257265,0.8184760061142528,0.573047435504038,0.59375,0.03328447803593889
crop,MACRO_MEAN,4,-0.060758280018008926,0.7028288377986049,0.5292575966545091,,0.15531690203276177
crop_state,MACRO_MEAN,36,-1.0984662391724611,0.5593738748305506,0.4750516556671559,,0.2698292448292448
state,MACRO_MEAN,12,-0.3395209125276879,0.5817803057350123,0.4613612197558952,,0.24264783806533063
year,MACRO_MEAN,10,-0.11991170810959835,0.65807812539561,0.47623098847424705,,0.14562513169579633
